NOC,1992,2012,1920,1900,1932,1952,2000,1996,1912,1924,1948,2008,2016,2004,1984,1968,1972,1988,1936,1956,1960,1928,1976,1980,1964,1906,1904,1908,1896,2020,2024
CHN,86,50,0,0,0,0,75,98,0,0,0,73,55,81,86,0,0,86,0,0,0,0,0,0,0,0,0,0,0,70,84
DEN,0,1,45,0,0,56,0,0,54,0,64,1,0,1,0,19,7,1,0,0,0,0,7,0,0,18,0,24,1,0,0
NED,5,7,0,0,0,56,1,0,0,0,8,6,45,12,0,0,36,0,0,0,36,66,36,0,0,0,0,39,0,25,76
FIN,1,4,0,0,27,120,1,1,25,72,64,0,7,0,0,48,7,0,64,48,84,56,0,0,58,0,0,31,0,0,0
NOR,5,0,26,0,0,79,7,7,46,0,0,0,6,0,8,36,43,0,0,0,7,0,0,0,14,21,4,38,0,5,0
ROU,86,47,0,0,0,120,69,91,0,0,0,67,13,72,52,0,84,84,64,42,36,0,84,84,84,0,0,0,0,7,36
EST,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRA,59,45,32,108,0,120,79,99,6,72,72,67,48,75,59,57,84,64,64,28,84,65,63,48,36,8,0,59,1,35,42
MAR,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0
ESP,52,40,0,0,0,7,82,54,0,0,0,53,17,79,59,0,26,59,0,0,82,0,36,36,0,0,0,0,0,58,70
EGY,0,14,2,0,0,64,6,0,0,0,64,10,4,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,25,21
IRI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,2
BUL,86,12,0,0,0,120,49,64,0,0,0,14,6,21,0,78,84,86,56,36,84,0,84,84,58,0,0,0,0,14,19
ITA,60,57,32,1,26,120,53,69,24,72,72,72,31,60,28,63,84,65,69,42,84,68,57,0,48,24,0,32,0,41,83
CHA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZE,0,7,0,0,0,0,0,0,0,0,0,8,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,7
SUD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RUS,0,60,0,0,0,0,84,99,4,0,0,78,62,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARG,17,6,0,0,0,14,5,12,0,0,55,0,5,5,0,0,0,0,0,0,7,0,0,0,7,0,0,0,0,5,0
CUB,0,0,0,0,0,21,14,0,0,0,56,0,17,19,0,84,48,0,0,7,10,0,14,48,48,0,0,0,0,1,0
BLR,0,13,0,0,0,0,84,98,0,0,0,52,20,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
