NOC,1992,2012,1920,1900,1932,1952,2000,1996,1912,1924,1948,2008,2016,2004,1984,1968,1972,1988,1936,1956,1960,1928,1976,1980,1964,1906,1904,1908,1896,2020,2024
CHN,35,69,0,0,0,0,71,75,0,0,21,216,83,100,70,0,0,72,24,0,0,0,0,0,0,0,0,0,0,102,79
DEN,16,29,23,0,0,11,15,30,15,0,29,14,31,15,14,0,32,0,16,0,24,13,13,14,0,12,0,13,0,15,33
NED,68,39,23,1,0,29,93,107,15,26,33,105,66,70,45,28,27,44,21,0,25,31,26,11,41,0,0,19,0,96,88
FIN,0,0,0,0,0,33,0,0,13,0,0,0,0,0,0,0,0,0,11,0,0,0,0,16,12,0,0,0,0,0,0
NOR,14,16,16,0,0,11,36,35,12,0,0,37,14,8,15,0,16,14,14,0,0,0,0,0,0,0,0,0,0,32,33
ROU,15,13,0,0,0,31,14,13,0,27,0,15,14,0,15,0,37,0,15,9,7,0,39,47,49,0,0,0,0,26,13
EST,0,0,0,0,0,0,0,2,0,11,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
FRA,41,70,44,55,0,39,58,37,8,38,51,29,119,44,28,36,17,25,36,12,56,35,15,0,0,3,0,34,0,106,226
MAR,16,16,0,0,0,0,17,0,0,0,0,0,0,16,15,12,18,0,0,0,0,0,0,0,12,0,0,0,0,2,21
ESP,157,105,26,0,0,8,102,81,0,18,22,85,126,101,56,58,56,56,0,0,26,39,32,68,14,0,0,0,0,143,171
EGY,47,16,11,0,0,36,27,16,0,12,31,26,28,44,41,11,11,12,18,0,0,16,21,0,28,0,0,0,0,37,49
IRI,0,0,0,0,0,0,0,0,0,0,13,12,12,0,0,0,17,0,0,0,0,0,26,0,16,0,0,0,0,24,0
BUL,0,12,0,0,0,25,2,12,0,11,0,12,0,2,0,42,23,24,0,25,27,0,12,45,12,0,0,0,0,0,0
ITA,72,54,29,0,0,51,111,78,14,20,35,70,56,120,53,23,23,43,27,10,58,17,35,47,24,0,0,0,0,74,58
CHA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SUD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RUS,0,81,0,0,0,0,89,62,15,0,0,93,58,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARG,16,72,0,0,0,21,48,76,0,0,33,63,130,74,10,18,16,59,0,0,20,23,16,0,14,0,0,0,0,127,94
CUB,67,0,0,0,0,12,87,56,0,0,13,40,13,40,0,23,47,0,0,0,0,0,60,103,0,0,0,0,0,2,2
BLR,0,16,0,0,0,0,0,0,0,0,0,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRE,13,15,20,0,0,23,15,25,0,7,8,42,13,181,13,11,11,13,0,0,0,0,0,11,0,22,0,0,0,13,38
CMR,0,17,0,0,0,0,18,0,0,0,0,17,10,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUR,0,24,0,0,0,23,0,0,0,11,12,0,11,0,0,0,0,0,19,0,14,11,0,0,0,0,0,0,0,12,13
CHI,0,0,0,0,0,24,17,0,0,0,20,0,2,0,14,0,0,0,7,11,0,11,0,0,0,0,0,0,0,24,2
MEX,16,16,0,0,0,20,4,16,0,0,25,2,32,34,0,81,47,0,11,0,12,11,39,0,24,0,0,0,0,63,0
USA,111,114,28,1,21,35,150,201,0,41,47,170,140,113,133,47,57,121,61,46,22,20,38,0,46,0,56,0,0,173,173
URS,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,46,81,123,0,40,23,0,102,134,46,0,0,0,0,0,0
NCA,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUN,28,42,0,0,10,41,28,46,21,19,23,40,26,56,0,28,55,27,53,11,42,7,49,63,49,0,0,0,0,43,60
NGR,16,12,0,0,0,0,32,16,0,0,0,31,29,28,0,16,0,17,0,0,0,0,0,17,0,0,0,0,0,24,30
ALG,10,11,0,0,0,0,0,16,0,0,0,10,18,0,15,0,0,14,0,0,0,0,0,28,0,0,0,0,0,0,0
KUW,19,0,0,0,0,0,16,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
BRN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
PAK,16,16,0,0,0,12,16,16,0,0,19,16,0,16,16,13,15,15,0,14,13,0,16,0,16,0,0,0,0,0,0
