NOC,1992,2012,1920,1900,1932,1952,2000,1996,1912,1924,1948,2008,2016,2004,1984,1968,1972,1988,1936,1956,1960,1928,1976,1980,1964,1906,1904,1908,1896,2020,2024
CHN,62,62,0,0,0,0,63,57,0,0,0,72,56,68,58,0,0,63,0,0,0,0,0,0,0,0,0,0,0,69,71
DEN,13,12,86,26,23,27,8,12,65,42,31,3,4,6,4,8,23,16,33,5,8,21,10,6,4,5,0,33,8,8,6
NED,16,5,93,42,4,0,9,4,23,44,22,2,7,12,7,0,4,16,21,0,8,30,2,6,2,44,0,58,0,10,10
FIN,21,6,51,0,0,28,13,15,38,43,29,15,4,10,19,11,17,29,9,12,20,3,13,22,10,0,0,15,0,4,5
NOR,15,11,68,25,0,23,22,15,68,51,19,13,9,8,22,10,21,11,14,7,9,15,15,0,6,27,0,28,0,13,13
ROU,32,18,0,1,0,22,13,24,0,13,0,11,10,10,25,31,44,7,16,9,35,17,38,41,34,0,0,0,0,4,2
EST,7,4,0,0,0,0,8,15,0,0,0,2,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4
FRA,68,48,125,333,21,42,53,52,65,66,42,54,51,55,52,40,49,66,38,35,42,30,44,25,37,79,0,110,5,52,82
MAR,0,3,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,2,3
ESP,55,14,45,3,6,4,14,27,0,29,7,16,15,11,20,12,11,29,0,0,30,18,9,14,5,0,0,0,0,9,10
EGY,7,26,2,0,0,31,15,2,0,4,24,27,28,24,23,10,0,4,17,0,0,18,0,0,14,0,0,0,0,46,57
IRI,0,9,0,1,0,0,1,1,0,0,6,2,11,1,0,0,3,0,0,0,2,0,32,0,25,0,0,0,0,21,13
BUL,18,11,0,0,0,6,11,19,0,0,0,9,8,6,0,8,17,21,4,0,10,3,14,22,7,0,0,0,0,5,6
ITA,55,65,93,14,32,38,59,61,16,52,36,59,58,43,47,40,47,52,36,34,42,24,49,34,37,19,0,25,1,71,75
CHA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
AZE,0,3,0,0,0,0,3,4,0,0,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
SUD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
RUS,0,63,0,2,0,0,64,65,132,0,0,59,61,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARG,9,3,0,1,11,27,10,17,0,32,40,2,7,9,30,26,18,9,24,6,18,9,22,0,31,0,0,0,0,8,7
CUB,15,7,0,2,0,5,33,16,0,10,18,9,15,16,0,31,33,0,0,0,1,0,27,36,3,0,5,0,0,9,7
BLR,0,21,0,0,0,0,28,21,0,0,0,22,10,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
GRE,7,5,53,0,0,6,5,4,68,30,31,3,6,40,9,7,9,4,29,2,10,13,4,3,4,124,0,23,55,5,9
CMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUR,13,8,0,0,0,0,15,9,0,1,10,4,9,8,6,4,9,14,10,0,0,7,3,0,0,0,0,0,0,10,24
CHI,2,4,0,0,0,3,5,2,8,1,11,2,2,2,4,4,2,1,21,4,2,11,4,0,6,0,0,0,0,3,4
MEX,8,18,0,0,28,11,5,4,0,3,27,9,19,9,15,45,31,12,7,8,19,2,7,2,6,0,0,0,0,17,24
USA,62,69,143,3,36,40,57,73,124,78,42,57,59,66,60,46,53,73,36,39,45,28,49,0,43,0,90,35,4,92,74
URS,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,46,54,73,0,43,45,0,48,50,44,0,0,0,0,0,0
NCA,1,0,0,0,0,0,1,1,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
HUN,64,10,0,8,16,39,36,50,64,50,36,33,27,39,0,41,45,55,37,36,45,29,40,50,42,30,0,18,0,33,36
NGR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALG,0,3,0,0,0,0,2,2,0,0,0,2,3,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,11
KUW,3,6,0,0,0,0,6,4,0,0,0,3,0,5,15,0,0,14,0,0,0,0,7,18,0,0,0,0,0,4,3
BRN,0,1,0,0,0,0,0,0,0,0,0,1,1,1,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0
PAK,0,1,0,0,0,1,1,0,0,0,0,2,2,1,0,0,0,0,0,4,5,0,0,0,5,0,0,0,0,3,6
IRQ,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
UAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
LIB,4,3,0,0,0,3,1,0,0,0,3,1,2,1,11,6,20,4,0,0,10,0,0,4,8,0,0,0,0,0,0
QAT,0,5,0,0,0,0,1,1,0,0,0,4,2,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2
MAS,1,9,0,0,0,0,2,1,0,0,0,7,8,3,1,0,1,1,0,0,0,0,2,0,10,0,0,0,0,5,7
GER,70,48,0,1,4,25,68,65,58,0,0,40,24,56,0,0,0,0,38,7,44,26,0,0,43,23,2,28,0,37,37
CAN,46,10,11,0,11,13,24,29,3,9,21,25,10,14,46,28,34,54,25,12,13,0,40,0,17,0,0,32,0,22,32
IRL,2,1,0,0,0,5,3,5,0,0,8,2,0,1,4,23,6,3,0,0,10,0,2,8,6,0,0,0,0,1,0
AUS,18,24,0,0,0,23,53,29,0,0,6,36,30,43,16,14,11,27,0,41,29,0,15,9,40,0,0,0,0,37,19
RSA,13,2,35,0,0,1,7,9,36,9,0,16,0,8,0,0,0,0,0,3,7,0,0,0,0,0,0,2,0,0,2
ERI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JOR,1,0,0,0,0,0,1,1,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,6,0,0,0,0,0,1,0
TUN,0,7,0,0,0,0,1,2,0,0,0,2,7,2,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,20,4
LBA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BEL,6,1,153,50,12,32,3,7,30,56,31,0,3,2,21,9,11,17,37,19,31,29,13,10,4,12,0,43,0,2,1
DJI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
COM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAZ,0,10,0,0,0,0,22,22,0,0,0,14,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,36
BRU,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IND,9,27,0,0,0,4,4,9,0,0,0,22,25,21,10,3,5,8,0,2,3,0,3,4,2,0,0,0,0,34,46
KSA,1,1,0,0,0,0,1,1,0,0,0,1,3,1,19,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0
SYR,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0
MDV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UAE,0,3,0,0,0,0,3,1,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
YAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INA,9,3,0,0,0,0,1,6,0,0,0,3,7,3,4,0,1,11,0,3,5,0,2,0,0,0,0,0,0,11,11
PHI,3,3,0,0,0,6,2,2,0,0,6,2,0,2,1,10,12,3,6,6,8,0,2,0,10,0,0,0,0,1,1
SGP,5,2,0,0,0,0,1,1,0,0,0,1,4,1,0,2,0,1,0,0,1,0,1,0,0,0,0,0,0,3,4
UZB,0,3,0,0,0,0,7,3,0,0,0,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
KGZ,0,2,0,0,0,0,6,5,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
TJK,0,1,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EUN,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPN,37,36,0,0,0,4,27,32,0,0,0,25,25,32,38,14,19,48,0,13,30,0,30,0,42,0,0,0,0,75,45
CGO,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUI,16,17,55,40,2,28,13,19,0,36,38,17,15,11,21,19,32,28,27,0,24,19,14,4,18,36,0,0,1,11,8
BRA,10,7,20,0,6,18,1,1,0,1,19,8,50,4,9,11,4,19,22,6,5,0,9,7,0,0,0,0,0,7,11
GDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,20,31,0,0,0,0,13,38,0,0,0,0,0,0,0
MON,1,0,0,0,0,8,1,1,0,4,4,1,0,1,6,2,5,3,9,0,10,0,4,0,0,0,0,0,0,0,0
ISR,6,2,0,0,0,6,4,13,0,0,0,8,2,4,11,5,5,6,0,0,6,0,3,0,4,0,0,0,0,2,6
URU,1,1,0,0,0,2,1,0,0,20,9,1,0,0,0,5,0,0,8,1,3,0,0,0,0,0,0,0,0,0,0
SWE,27,5,95,1,6,32,25,20,185,54,24,4,4,17,34,22,28,50,31,20,25,12,27,23,20,26,0,71,0,2,11
SRI,1,2,0,0,0,0,4,4,0,0,0,2,2,2,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,1,0
ARM,0,2,0,0,0,0,1,1,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CIV,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
KEN,3,0,0,0,0,0,1,3,0,0,0,0,1,0,2,3,10,2,0,4,3,0,0,0,4,0,0,0,0,0,1
BEN,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GBR,44,46,48,4,3,43,12,12,126,68,41,22,16,15,60,41,53,44,28,37,42,28,48,27,39,28,1,213,5,23,24
GHA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MLI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
POL,62,19,0,0,9,23,34,45,0,19,16,47,18,17,0,45,52,46,23,11,43,7,46,46,31,0,0,0,0,22,36
CRC,3,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,2,1,1,0,0,0,4,10,0,0,0,0,0,0,0
PAN,0,0,0,0,0,0,1,1,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GEO,0,3,0,0,0,0,10,7,0,0,0,4,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
SLO,4,6,0,0,0,0,6,9,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
GUY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NZL,6,1,0,0,0,0,10,3,0,0,0,5,3,4,8,2,5,6,0,0,3,0,4,0,0,0,0,0,0,2,2
