Year,NOC,Sport,Medals,Host,Corrected_Medals
1896,13,10,3,1,3.0
1896,14,15,5,1,5.0
1896,56,17,6,1,6.0
1896,71,17,11,1,11.0
1896,76,17,9,1,9.0
1896,81,22,14,1,14.0
1896,83,51,44,1,44.0
1896,92,22,6,1,6.0
1896,194,7,3,1,3.0
1896,220,14,19,1,19.0
1900,13,13,6,1,6.0
1900,14,25,6,1,6.0
1900,20,41,18,1,18.0
1900,27,10,3,1,3.0
1900,37,1,2,1,2.0
1900,47,8,1,1,1.0
1900,53,13,2,1,2.0
1900,56,34,7,1,7.0
1900,65,8,1,1,1.0
1900,71,69,102,1,102.0
1900,76,54,42,1,42.0
1900,81,34,8,1,8.0
1900,89,11,1,1,1.0
1900,92,13,5,1,5.0
1900,94,1,2,1,2.0
1900,102,21,5,1,5.0
1900,125,1,1,1,1.0
1900,133,9,1,1,1.0
1900,148,44,7,1,7.0
1900,153,14,5,1,5.0
1900,155,11,1,1,1.0
1900,194,21,9,1,9.0
1900,197,9,2,1,2.0
1900,220,54,54,1,54.0
1904,13,12,4,1,4.0
1904,14,19,4,1,4.0
1904,37,34,6,1,6.0
1904,53,13,4,1,4.0
1904,71,1,2,1,2.0
1904,76,1,2,1,2.0
1904,81,34,16,1,16.0
1904,83,5,2,1,2.0
1904,92,12,4,1,4.0
1904,153,2,2,1,2.0
1904,194,9,3,1,3.0
1904,220,80,230,1,230.0
1908,13,13,3,1,3.0
1908,14,18,9,1,9.0
1908,20,31,7,1,7.0
1908,27,9,2,1,2.0
1908,37,1,2,1,2.0
1908,56,20,6,1,6.0
1908,70,3,4,1,4.0
1908,71,60,41,1,41.0
1908,76,40,25,1,25.0
1908,81,41,14,1,14.0
1908,83,65,35,1,35.0
1908,92,35,10,1,10.0
1908,102,39,16,1,16.0
1908,148,13,3,1,3.0
1908,153,20,2,1,2.0
1908,194,13,8,1,8.0
1908,197,22,14,1,14.0
1908,220,13,23,1,23.0
1912,8,26,5,1,5.0
1912,14,12,1,1,1.0
1912,20,47,8,1,8.0
1912,27,13,2,1,2.0
1912,37,42,16,1,16.0
1912,56,25,5,1,5.0
1912,70,10,5,1,5.0
1912,71,32,19,1,19.0
1912,76,90,143,1,143.0
1912,81,39,13,1,13.0
1912,83,14,4,1,4.0
1912,92,28,9,1,9.0
1912,102,23,4,1,4.0
1912,148,23,2,1,2.0
1912,153,23,8,1,8.0
1912,174,1,2,1,2.0
1912,175,16,3,1,3.0
1912,197,77,25,1,25.0
1912,220,38,46,1,46.0
1916,8,21,7,1,7.0
1916,14,34,4,1,4.0
1916,20,41,6,1,6.0
1916,37,13,8,1,8.0
1916,56,62,12,1,12.0
1916,70,31,26,1,26.0
1916,71,43,15,1,15.0
1916,76,64,41,1,41.0
1916,81,42,26,1,26.0
1916,83,1,2,1,2.0
1916,92,23,8,1,8.0
1916,102,21,8,1,8.0
1916,148,24,3,1,3.0
1916,153,50,10,1,10.0
1916,174,13,6,1,6.0
1916,175,35,5,1,5.0
1916,194,0,1,1,1.0
1916,197,71,65,1,65.0
1916,220,34,63,1,63.0
1920,13,13,3,1,3.0
1920,20,63,42,1,42.0
1920,30,13,3,1,3.0
1920,37,29,9,1,9.0
1920,56,46,13,1,13.0
1920,65,20,2,1,2.0
1920,66,5,3,1,3.0
1920,70,42,34,1,34.0
1920,71,75,42,1,42.0
1920,76,60,43,1,43.0
1920,83,13,1,1,1.0
1920,102,47,25,1,25.0
1920,106,9,2,1,2.0
1920,125,4,1,1,1.0
1920,148,35,11,1,11.0
1920,153,57,29,1,29.0
1920,155,12,1,1,1.0
1920,174,28,10,1,10.0
1920,194,31,11,1,11.0
1920,197,80,64,1,64.0
1920,201,23,2,1,2.0
1920,220,62,95,1,95.0
1924,9,12,6,1,6.0
1924,13,13,6,1,6.0
1924,14,4,4,1,4.0
1924,20,49,13,1,13.0
1924,37,27,4,1,4.0
1924,56,31,11,1,11.0
1924,66,7,6,1,6.0
1924,70,24,37,1,37.0
1924,71,75,40,1,40.0
1924,76,48,35,1,35.0
1924,83,0,1,1,1.0
1924,89,13,1,1,1.0
1924,92,28,10,1,10.0
1924,97,0,2,1,2.0
1924,102,54,16,1,16.0
1924,106,2,1,1,1.0
1924,125,0,2,1,2.0
1924,140,0,1,1,1.0
1924,148,51,11,1,11.0
