Name,Sex,Team,NOC,Year,City,Type,Sport,Event,Medal,Sport ID,Type.1
Edgar Aabye,M,Denmark/Sweden,DEN,1900,Paris,Other Traditional Sports,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Gold,69,Other Traditional Sports
Arvo Aaltonen,M,Finland,FIN,1920,Antwerpen,Water Sports,Swimming,Swimming Men's 200 metres Breaststroke,Bronze,61,Water Sports
Arvo Aaltonen,M,Finland,FIN,1920,Antwerpen,Water Sports,Swimming,Swimming Men's 400 metres Breaststroke,Bronze,61,Water Sports
Paavo Aaltonen,M,Finland,FIN,1948,London,Gymnastics,Gymnastics,Gymnastics Men's Individual All-Around,Bronze,36,Gymnastics
Paavo Aaltonen,M,Finland,FIN,1948,London,Gymnastics,Gymnastics,Gymnastics Men's Team All-Around,Gold,36,Gymnastics
Paavo Aaltonen,M,Finland,FIN,1948,London,Gymnastics,Gymnastics,Gymnastics Men's Horse Vault,Gold,36,Gymnastics
Paavo Aaltonen,M,Finland,FIN,1948,London,Gymnastics,Gymnastics,Gymnastics Men's Pommelled Horse,Gold,36,Gymnastics
Paavo Aaltonen,M,Finland,FIN,1952,Helsinki,Gymnastics,Gymnastics,Gymnastics Men's Team All-Around,Bronze,36,Gymnastics
Ragnhild Aamodt,F,Norway,NOR,2008,Beijing,Team Ball Sports,Handball,Handball Women's Handball,Gold,37,Team Ball Sports
Alf Aanning,M,Norway,NOR,1920,Antwerpen,Gymnastics,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Silver,36,Gymnastics
Willemien Aardenburg,F,Netherlands,NED,1988,Seoul,Team Ball Sports,Hockey,Hockey Women's Hockey,Bronze,38,Team Ball Sports
Pepijn Aardewijn,M,Netherlands,NED,1996,Atlanta,Water Sports,Rowing,Rowing Men's Lightweight Double Sculls,Silver,52,Water Sports
Ann Aarnes,F,Norway,NOR,1996,Atlanta,Team Ball Sports,Football,Football Women's Football,Bronze,34,Team Ball Sports
Thomas Aas,M,Taifun,NOR,1912,Stockholm,Other Traditional Sports,Sailing,Sailing Mixed 8 metres,Gold,55,Other Traditional Sports
Ren Abadie,M,France,FRA,1956,Melbourne,Cycling Sports,Cycling,"Cycling Men's Road Race, Team",Gold,20,Cycling Sports
